,Gene,Paper_ID,Classification,EC_numbers,Reaction_Group,Title,Organism
32,AAT2,14672,Positive,['2.6.1.1'],ASPTA_1,Metabolic and tolerance engineering of Komagataella phaffii for 2-phenylethanol production through genome-wide scanning.,['Komagataella phaffii']
33,AAT2,14672,Positive,['2.6.1.1'],TYRTA_1,Metabolic and tolerance engineering of Komagataella phaffii for 2-phenylethanol production through genome-wide scanning.,['Komagataella phaffii']
34,AAT2,14672,Positive,['2.6.1.1'],LEUTAi_1,Metabolic and tolerance engineering of Komagataella phaffii for 2-phenylethanol production through genome-wide scanning.,['Komagataella phaffii']
35,AAT2,14672,Positive,['2.6.1.1'],PHETA1_1,Metabolic and tolerance engineering of Komagataella phaffii for 2-phenylethanol production through genome-wide scanning.,['Komagataella phaffii']
36,AAT2,15506,Positive,['2.6.1.1'],ALATA_L_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
37,AAT2,15506,Positive,['2.6.1.1'],ASPTA_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
38,AAT2,15506,Positive,['2.6.1.1'],TYRTA_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
39,AAT2,15506,Positive,['2.6.1.1'],LEUTAi_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
40,AAT2,15506,Positive,['2.6.1.1'],PHETA1_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
41,AAT2,15506,Other,['2.6.1.1'],ALATA_L_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
42,AAT2,15506,Other,['2.6.1.1'],ASPTA_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
43,AAT2,15506,Other,['2.6.1.1'],TYRTA_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
44,AAT2,15506,Other,['2.6.1.1'],LEUTAi_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
45,AAT2,15506,Other,['2.6.1.1'],PHETA1_1,Metabolic engineering of Komagataella phaffii for enhanced 3-hydroxypropionic acid (3-HP) production from methanol.,['Komagataella phaffii']
46,ABZ1,5408,Positive,['2.6.1.85'],GLUN_1,Production of para-aminobenzoic acid from different carbon-sources in engineered Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
47,ABZ2,5408,Positive,['4.1.3.38'],ADCL_1,Production of para-aminobenzoic acid from different carbon-sources in engineered Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
48,ABZ2,11994,Negative,['4.1.3.38'],ADCL_1,De novo biosynthesis of rubusoside and rebaudiosides in engineered yeasts.,['Saccharomyces cerevisiae']
49,ACC1,2551,Positive,['6.4.1.2'],ACCOAC_1,Production of resveratrol from tyrosine in metabolically engineered Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
50,ACC1,2646,Positive,['6.4.1.2'],ACCOAC_1,Engineering the push and pull of lipid biosynthesis in oleaginous yeast Yarrowia lipolytica for biofuel production.,['Yarrowia lipolytica']
51,ACC1,3106,Positive,['6.4.1.2'],ACCOAC_1,Investigating host dependence of xylose utilization in recombinant Saccharomyces cerevisiae strains using RNA-seq analysis.,['Saccharomyces cerevisiae']
52,ACC1,3675,Positive,['6.4.1.2'],ACCOAC_1,Overproduction of fatty acids in engineered Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
53,ACC1,4037,Positive,['6.4.1.2'],ACCOAC_1,Hexokinase--A limiting factor in lipid production from fructose in Yarrowia lipolytica.,['Yarrowia lipolytica']
54,ACC1,4140,Positive,['6.4.1.2'],ACCOAC_1,Metabolic engineering of Saccharomyces cerevisiae to improve 1-hexadecanol production.,['Saccharomyces cerevisiae']
