,Title,Organism,EC_gene
4063,Changes in SAM2 expression affect lactic acid tolerance and lactic acid production in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'SAM2': {'EC_numbers': ['2.5.1.6'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}}"
4065,Engineering cellular redox balance in Saccharomyces cerevisiae for improved production of L-lactic acid.,['Saccharomyces cerevisiae'],"{'NDE1': {'EC_numbers': ['1.6.5.9'], 'Classified_Modifications': [{'mod': 'engineer', 'class': 'Other'}]}, 'PDC1': {'EC_numbers': ['4.1.1.74', '4.1.1.43', '4.1.1.72'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'NDE2': {'EC_numbers': ['1.6.5.9'], 'Classified_Modifications': [{'mod': 'engineer', 'class': 'Other'}]}}"
4068,Vitreoscilla hemoglobin promotes Salecan production by Agrobacterium sp. ZX09.,['Escherichia coli'],"{'res': {'EC_numbers': ['3.1.21.5'], 'Classified_Modifications': [{'mod': 'enhanc', 'class': 'Positive'}]}}"
4070,Construction of a Synthetically Engineered nirB Promoter for Expression of Recombinant Protein in Escherichia coli.,['Escherichia coli'],"{'nirB': {'EC_numbers': ['1.7.1.4', '1.7.1.15'], 'Classified_Modifications': [{'mod': 'remov', 'class': 'Negative'}, {'mod': 'express', 'class': 'Positive'}, {'mod': 'induc', 'class': 'Positive'}, {'mod': 'engineer', 'class': 'Other'}]}}"
4073,Synthetic biology for engineering acetyl coenzyme A metabolism in yeast.,['Saccharomyces cerevisiae'],"{'MLS1': {'EC_numbers': ['2.3.3.9'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'ACS2': {'EC_numbers': ['6.2.1.1'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'lack', 'class': 'Negative'}]}, 'CIT2': {'EC_numbers': ['2.3.3.16'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'ACS1': {'EC_numbers': ['6.2.1.1'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'lack', 'class': 'Negative'}]}, 'ERG10': {'EC_numbers': ['2.3.1.9'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4078,Identification of novel knockout targets for improving terpenoids biosynthesis in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'SOR1': {'EC_numbers': ['1.1.1.9', '1.3.5.1', '4.3.1.17'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'SER33': {'EC_numbers': ['1.1.1.95', '1.1.1.399'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'HXK2': {'EC_numbers': ['2.7.1.1'], 'Classified_Modifications': [{'mod': 'disrupt', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}, 'SER3': {'EC_numbers': ['1.1.1.95', '1.1.1.399'], 'Classified_Modifications': [{'mod': 'disrupt', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}, 'HXK1': {'EC_numbers': ['2.7.1.1'], 'Classified_Modifications': [{'mod': 'increas express', 'class': 'Positive'}]}}"
4079,New transposon tools tailored for metabolic engineering of gram-negative microbial cell factories.,"['Pseudomonas putida', 'Escherichia coli', 'Cupriavidus necator']","{'pta': {'EC_numbers': ['2.3.1.8'], 'Classified_Modifications': [{'mod': 'mutant', 'class': 'Other'}]}}"
4080,Dissecting and engineering of the TetR family regulator SACE_7301 for enhanced erythromycin production in Saccharopolyspora erythraea.,['Saccharopolyspora erythraea'],"{'ermE': {'EC_numbers': ['2.1.1.184'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'increas', 'class': 'Positive'}, {'mod': 'regulat', 'class': 'Other'}]}, 'eryAI': {'EC_numbers': ['2.3.1.94'], 'Classified_Modifications': [{'mod': 'regulat', 'class': 'Other'}, {'mod': 'express', 'class': 'Positive'}, {'mod': 'increas', 'class': 'Positive'}]}, 'eryG': {'EC_numbers': ['2.1.1.254'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4081,Ethylene-producing bacteria that ripen fruit.,['Pseudomonas syringae'],"{'EFE': {'EC_numbers': ['1.13.12.19', '1.14.20.7'], 'Classified_Modifications': [{'mod': 'regulat', 'class': 'Other'}, {'mod': 'inhibit express', 'class': 'Negative'}, {'mod': 'express', 'class': 'Positive'}]}}"
4082,Bacillus subtilis as heterologous host for the secretory production of the non-ribosomal cyclodepsipeptide enniatin.,['Bacillus subtilis'],"{'lytC': {'EC_numbers': ['3.5.1.28'], 'Classified_Modifications': [{'mod': 'inactivat', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}}"
4085,Deletion of glucose oxidase changes the pattern of organic acid production in Aspergillus carbonarius.,['Aspergillus carbonarius'],"{'gox': {'EC_numbers': ['1.1.3.4'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'mutants', 'class': 'Other'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'disrupt', 'class': 'Negative'}]}}"
4086,Biosynthesis of β-carotene in engineered E. coli using the MEP and MVA pathways.,['Escherichia coli'],"{'dxs': {'EC_numbers': ['2.2.1.7'], 'Classified_Modifications': [{'mod': 'introduc', 'class': 'Positive'}, {'mod': 'increas', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'ERG8': {'EC_numbers': ['2.7.4.2'], 'Classified_Modifications': [{'mod': 'introduc', 'class': 'Positive'}]}, 'fni': {'EC_numbers': ['5.3.3.2'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}}"
4088,Heterologous production of Pseudomonas aeruginosa rhamnolipid under anaerobic conditions for microbial enhanced oil recovery.,['Pseudomonas aeruginosa'],"{'rhl': {'EC_numbers': ['2.4.1.17', '3.6.4.13'], 'Classified_Modifications': [{'mod': 'engineer', 'class': 'Other'}]}}"
4093,Production of itaconic acid using metabolically engineered Escherichia coli.,['Escherichia coli'],"{'acnB': {'EC_numbers': ['4.2.1.3', '4.2.1.99'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'cad': {'EC_numbers': ['4.1.1.19'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'inactivat', 'class': 'Negative'}, {'mod': 'express', 'class': 'Positive'}]}, 'icd': {'EC_numbers': ['1.1.1.42'], 'Classified_Modifications': [{'mod': 'inactivat', 'class': 'Negative'}, {'mod': 'inactivat', 'class': 'Negative'}]}, 'aceA': {'EC_numbers': ['4.1.3.1'], 'Classified_Modifications': [{'mod': 'inactivat', 'class': 'Negative'}]}}"
4094,Direct fermentation of amorphous cellulose to ethanol by engineered Saccharomyces cerevisiae coexpressing Trichoderma viride EG3 and BGL1.,"['Saccharomyces cerevisiae', 'Trichoderma viride']","{'BGL1': {'EC_numbers': ['3.2.1.58'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'coexpress', 'class': 'Positive'}]}, 'PGK1': {'EC_numbers': ['2.7.2.3'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4098,Metabolic engineering for improved production of ethanol by Corynebacterium glutamicum.,['Corynebacterium glutamicum'],"{'pdc': {'EC_numbers': ['4.1.1.72'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'tpi': {'EC_numbers': ['5.3.1.1'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'adhB': {'EC_numbers': ['1.1.1.103', '1.1.1.1'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4100,Metabolic pathway engineering for fatty acid ethyl ester production in Saccharomyces cerevisiae using stable chromosomal integration.,['Saccharomyces cerevisiae'],"{'ALD6': {'EC_numbers': ['1.2.1.3', '1.2.1.4'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4102,Expansion of the genetic toolkit for metabolic engineering of Clostridium pasteurianum: chromosomal gene disruption of the endogenous CpaAI restriction enzyme.,['Clostridium pasteurianum'],"{'ptb': {'EC_numbers': ['2.3.1.19'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}}"
4103,L-Serine overproduction with minimization of by-product synthesis by engineered Corynebacterium glutamicum.,['Corynebacterium glutamicum'],"{'avtA': {'EC_numbers': ['2.6.1.1', '2.6.1.66', '6.2.1.22'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
4104,Multivariate modular engineering of the protein secretory pathway for production of heterologous glucose oxidase in Komagataella pastoris.,['Komagataella pastoris'],"{'SEC53': {'EC_numbers': ['5.4.2.8'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4105,Leveraging transcription factors to speed cellobiose fermentation by Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'HXK1': {'EC_numbers': ['2.7.1.1'], 'Classified_Modifications': [{'mod': 'induc express', 'class': 'Positive'}, {'mod': 'repress', 'class': 'Negative'}]}, 'GLK1': {'EC_numbers': ['2.7.1.2'], 'Classified_Modifications': [{'mod': 'repress', 'class': 'Negative'}]}, 'HXK2': {'EC_numbers': ['2.7.1.1'], 'Classified_Modifications': [{'mod': 'induc', 'class': 'Positive'}]}, 'ALD6': {'EC_numbers': ['1.2.1.3', '1.2.1.4'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'PGK1': {'EC_numbers': ['2.7.2.3'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4106,The dtd gene from Bacillus amyloliquefaciens encodes a putative D-tyrosyl-tRNATyr deacylase and is a selectable marker for Bacillus subtilis.,['Bacillus amyloliquefaciens'],"{'dtd': {'EC_numbers': ['3.1.1.96'], 'Classified_Modifications': [{'mod': 'mutat', 'class': 'Other'}, {'mod': 'regulat', 'class': 'Other'}, {'mod': 'delet', 'class': 'Negative'}]}}"
4115,Establishing a synthetic pathway for high-level production of 3-hydroxypropionic acid in Saccharomyces cerevisiae via β-alanine.,['Saccharomyces cerevisiae'],"{'AAT2': {'EC_numbers': ['2.6.1.1'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'increas express', 'class': 'Positive'}]}, 'PYC1': {'EC_numbers': ['6.4.1.1'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'increas express', 'class': 'Positive'}, {'mod': 'increas', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'gabT': {'EC_numbers': ['2.6.1.48', '2.6.1.19'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'PYC2': {'EC_numbers': ['6.4.1.1'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}, {'mod': 'increas express', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'GAD1': {'EC_numbers': ['4.1.1.15'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'ALT1': {'EC_numbers': ['2.6.1.2'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'UGA1': {'EC_numbers': ['2.6.1.19'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4116,One-carbon metabolic pathway rewiring in Escherichia coli reveals an evolutionary advantage of 10-formyltetrahydrofolate synthetase (Fhs) in survival under hypoxia.,['Escherichia coli'],"{'folD': {'EC_numbers': ['3.5.4.9', '1.5.1.5'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
4117,Comparative proteomics analysis of high n-butanol producing metabolically engineered Clostridium tyrobutyricum.,['Clostridium tyrobutyricum'],"{'thl': {'EC_numbers': ['2.3.1.9'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}}"
4119,Improving olefin tolerance and production in E. coli using native and evolved AcrB.,['Escherichia coli'],"{'acrB': {'EC_numbers': ['5.6.2.2'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}, {'mod': 'increas', 'class': 'Positive'}]}}"
4122,Evolution-guided optimization of biosynthetic pathways.,"['Saccharomyces cerevisiae', 'Escherichia coli', 'Corynebacterium glutamicum', 'Agrobacterium tumefaciens']","{'gapA': {'EC_numbers': ['1.2.1.12', '1.2.1.72'], 'Classified_Modifications': [{'mod': 'regulat', 'class': 'Other'}]}, 'mhpD': {'EC_numbers': ['4.2.1.80'], 'Classified_Modifications': [{'mod': 'inactivat', 'class': 'Negative'}]}, 'fumC': {'EC_numbers': ['4.2.1.2', '4.3.1.1'], 'Classified_Modifications': [{'mod': 'mutat', 'class': 'Other'}]}, 'tyrA': {'EC_numbers': ['5.4.99.5', '1.3.1.12'], 'Classified_Modifications': [{'mod': 'mutat', 'class': 'Other'}]}, 'MAG': {'EC_numbers': ['3.2.2.21'], 'Classified_Modifications': [{'mod': 'engineer', 'class': 'Other'}]}, 'pgi': {'EC_numbers': ['5.3.1.9'], 'Classified_Modifications': [{'mod': 'mutant', 'class': 'Other'}]}, 'garK': {'EC_numbers': ['2.7.1.31', '2.7.1.165'], 'Classified_Modifications': [{'mod': 'mutat', 'class': 'Other'}]}, 'sthA': {'EC_numbers': ['1.6.1.1'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'hcaT': {'EC_numbers': ['3.6.1.11'], 'Classified_Modifications': [{'mod': 'mutat', 'class': 'Other'}]}}"
4123,Using recombinant cyanobacterium (Synechococcus elongatus) with increased carbohydrate productivity as feedstock for bioethanol production via separate hydrolysis and fermentation process.,['Synechococcus elongatus'],"{'ecaA': {'EC_numbers': ['4.2.1.1'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4127,High-efficiency multiplex genome editing of Streptomyces species using an engineered CRISPR/Cas system.,"['Saccharomyces cerevisiae', 'Escherichia coli', 'Streptococcus pyogenes']","{'lacZ': {'EC_numbers': ['3.2.1.23'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'rep': {'EC_numbers': ['3.6.4.12', '5.6.2.4'], 'Classified_Modifications': [{'mod': 'remov', 'class': 'Negative'}]}}"
4132,Overproduction and secretion of free fatty acids through disrupted neutral lipid recycle in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'POX1': {'EC_numbers': ['1.3.3.6'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}, 'DGA1': {'EC_numbers': ['2.3.1.20', '2.3.1.22'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'TGL3': {'EC_numbers': ['3.1.1.3'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'FAA2': {'EC_numbers': ['6.2.1.3'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}, 'ARE1': {'EC_numbers': ['2.7.11.23', '2.7.11.22'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4133,Simultaneous production of butanol and acetoin by metabolically engineered Clostridium acetobutylicum.,['Clostridium acetobutylicum'],"{'adc': {'EC_numbers': ['4.1.1.4'], 'Classified_Modifications': [{'mod': 'disrupt', 'class': 'Negative'}]}}"
4138,Engineering Escherichia coli for fumaric acid production from glycerol.,['Escherichia coli'],"{'ppc': {'EC_numbers': ['4.1.1.31'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'increas', 'class': 'Positive'}]}}"
4140,Metabolic engineering of Saccharomyces cerevisiae to improve 1-hexadecanol production.,['Saccharomyces cerevisiae'],"{'RPD3': {'EC_numbers': ['3.5.1.98'], 'Classified_Modifications': [{'mod': 'knock', 'class': 'Negative'}]}, 'INO1': {'EC_numbers': ['5.5.1.4'], 'Classified_Modifications': [{'mod': 'knock', 'class': 'Negative'}]}, 'ACC1': {'EC_numbers': ['6.3.4.14', '6.4.1.2'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4142,Engineering microorganisms based on molecular evolutionary analysis: a succinate production case study.,"['Escherichia coli', 'Corynebacterium glutamicum']","{'pyc': {'EC_numbers': ['6.4.1.1'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4144,De novo production of the monoterpenoid geranic acid by metabolically engineered Pseudomonas putida.,['Pseudomonas putida'],"{'ERG20': {'EC_numbers': ['2.5.1.10', '2.5.1.1'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}}"
4145,Development of a multi-gene expression system in Xanthophyllomyces dendrorhous.,['Phaffia rhodozyma'],"{'hmgR': {'EC_numbers': ['2.3.3.10'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpr', 'class': 'Other'}, {'mod': 'overexpress', 'class': 'Positive'}]}}"
4146,Biosynthesis of butenoic acid through fatty acid biosynthesis pathway in Escherichia coli.,['Escherichia coli'],"{'fadD': {'EC_numbers': ['6.2.1.3', '2.7.7.7'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
4150,Expanding Metabolic Engineering Algorithms Using Feasible Space and Shadow Price Constraint Modules.,['Escherichia coli'],"{'glcA': {'EC_numbers': ['2.7.1.69', '2.7.1.199'], 'Classified_Modifications': []}, 'ptsH': {'EC_numbers': ['2.7.1.69', '1.1.5.4'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'atpB': {'EC_numbers': ['7.1.2.2'], 'Classified_Modifications': [{'mod': 'knock', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}, 'ldhA': {'EC_numbers': ['1.1.1.28'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}, 'tesB': {'EC_numbers': ['3.1.2.20'], 'Classified_Modifications': [{'mod': 'knock', 'class': 'Negative'}]}, 'dld': {'EC_numbers': ['1.1.1.28', '2.7.13.3', '1.1.5.12'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}, 'mgsA': {'EC_numbers': ['4.2.3.3'], 'Classified_Modifications': [{'mod': 'knock', 'class': 'Negative'}]}, 'ppc': {'EC_numbers': ['4.1.1.31'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}, 'gdhA': {'EC_numbers': ['1.4.1.4'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}, 'tpi': {'EC_numbers': ['5.3.1.1'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
4152,Deletion of the pflA gene in Escherichia coli LS5218 and its effects on the production of polyhydroxyalkanoates using beechwood xylan as a feedstock.,['Escherichia coli'],"{'pflA': {'EC_numbers': ['1.97.1.4'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
4154,A chromosomally encoded T7 RNA polymerase-dependent gene expression system for Corynebacterium glutamicum: construction and comparative evaluation at the single-cell level.,['Corynebacterium glutamicum'],"{'pyk': {'EC_numbers': ['2.7.1.40'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4157,Improvement of L-citrulline production in Corynebacterium glutamicum by ornithine acetyltransferase.,['Corynebacterium glutamicum'],"{'argJ': {'EC_numbers': ['2.3.1.35', '2.3.1.1'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'argG': {'EC_numbers': ['6.3.4.5'], 'Classified_Modifications': [{'mod': 'inactivat', 'class': 'Negative'}, {'mod': 'increas express', 'class': 'Positive'}]}}"
4162,"Metabolic engineering of Enterobacter cloacae for high-yield production of enantiopure (2R,3R)-2,3-butanediol from lignocellulose-derived sugars.",['Enterobacter cloacae'],"{'frdA': {'EC_numbers': ['1.3.5.1'], 'Classified_Modifications': [{'mod': 'knock', 'class': 'Negative'}]}, 'ptsG': {'EC_numbers': ['2.7.1.199'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4167,Engineering of an endogenous hexose transporter into a specific D-xylose transporter facilitates glucose-xylose co-consumption in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'xyl': {'EC_numbers': ['3.2.1.8'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}]}, 'GAL2': {'EC_numbers': ['3.1.3.25'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4168,"Engineering of Serine-Deamination pathway, Entner-Doudoroff pathway and pyruvate dehydrogenase complex to improve poly(3-hydroxybutyrate) production in Escherichia coli.",['Escherichia coli'],"{'sdaA': {'EC_numbers': ['4.3.1.17'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'edd': {'EC_numbers': ['4.2.1.12'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'zwf': {'EC_numbers': ['1.1.1.49'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'pgk': {'EC_numbers': ['2.7.2.3'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4171,Metabolic engineering of Escherichia coli for the biosynthesis of flavonoid-O-glucuronides and flavonoid-O-galactoside.,['Escherichia coli'],"{'ugd': {'EC_numbers': ['1.1.1.22', '4.2.1.47'], 'Classified_Modifications': [{'mod': 'increas', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}}"
4181,Escherichia coli enoyl-acyl carrier protein reductase (FabI) supports efficient operation of a functional reversal of β-oxidation cycle.,['Escherichia coli'],"{'fabI': {'EC_numbers': ['1.3.1.9'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
4184,Comparison of mcl-Poly(3-hydroxyalkanoates) synthesis by different Pseudomonas putida strains from crude glycerol: citrate accumulates at high titer under PHA-producing conditions.,['Pseudomonas putida'],"{'phaZ': {'EC_numbers': ['3.1.1.24'], 'Classified_Modifications': [{'mod': 'disrupt', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}]}}"
4185,Metabolic engineering of Escherichia coli to produce zeaxanthin.,['Escherichia coli'],"{'crtY': {'EC_numbers': ['5.5.1.19'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4188,Metabolic engineering of Saccharomyces cerevisiae ethanol strains PE-2 and CAT-1 for efficient lignocellulosic fermentation.,['Saccharomyces cerevisiae'],"{'GRE3': {'EC_numbers': ['1.1.1.21'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}, {'mod': 'delet', 'class': 'Negative'}, {'mod': 'disrupt', 'class': 'Negative'}, {'mod': 'disrupt', 'class': 'Negative'}]}}"
4189,Analysis of Heme Biosynthetic Pathways in a Recombinant Escherichia coli.,['Escherichia coli'],"{'hemA': {'EC_numbers': ['1.2.1.70'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'coaA': {'EC_numbers': ['2.7.1.33'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
4193,Long-chain alkane production by the yeast Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'HFD1': {'EC_numbers': ['1.2.1.64', '1.2.1.3'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
4200,Deletion of D-ribulose-5-phosphate 3-epimerase (RPE1) induces simultaneous utilization of xylose and glucose in xylose-utilizing Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'RPE1': {'EC_numbers': ['5.1.3.1'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
4203,Genome engineering using a synthetic gene circuit in Bacillus subtilis.,['Bacillus subtilis'],"{'amyE': {'EC_numbers': ['3.2.1.1'], 'Classified_Modifications': [{'mod': 'delet', 'class': 'Negative'}]}}"
4205,Principal component analysis of proteomics (PCAP) as a tool to direct metabolic engineering.,['Escherichia coli'],"{'HMGS': {'EC_numbers': ['2.3.3.10'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}}"
4208,Distributing a metabolic pathway among a microbial consortium enhances production of natural products.,"['Saccharomyces cerevisiae', 'Escherichia coli']","{'ackA': {'EC_numbers': ['2.7.2.15', '2.7.2.1'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}, 'pta': {'EC_numbers': ['2.3.1.8'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'inactivat', 'class': 'Negative'}]}, 'PDC6': {'EC_numbers': ['4.1.1.72', '4.1.1.74', '4.1.1.43'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4209,Phage selection assisted by Sfp phosphopantetheinyl transferase-catalyzed site-specific protein labeling.,['Escherichia coli'],"{'sfp': {'EC_numbers': ['2.7.8.7'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}}"
4213,Metabolic engineering of the fungal D-galacturonate pathway for L-ascorbic acid production.,"['Euglena gracilis', 'Aspergillus niger']","{'gaaA': {'EC_numbers': ['1.1.1.365'], 'Classified_Modifications': [{'mod': 'inducibl express', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}, {'mod': 'express', 'class': 'Positive'}]}, 'gpdA': {'EC_numbers': ['1.2.1.12'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4214,Promoters inducible by aromatic amino acids and γ-aminobutyrate (GABA) for metabolic engineering applications in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae'],"{'alsS': {'EC_numbers': ['2.2.1.6'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'ARO9': {'EC_numbers': ['2.6.1.7', '2.6.1.57'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}, 'alsD': {'EC_numbers': ['4.1.1.5'], 'Classified_Modifications': [{'mod': 'express', 'class': 'Positive'}]}}"
4219,Optimizing cofactor availability for the production of recombinant heme peroxidase in Komagataella pastoris.,['Komagataella pastoris'],"{'HEM1': {'EC_numbers': ['2.3.1.37'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'HEM3': {'EC_numbers': ['2.5.1.61'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}, {'mod': 'overexpress', 'class': 'Positive'}]}, 'HEM4': {'EC_numbers': ['4.2.1.75'], 'Classified_Modifications': [{'mod': 'overexpress', 'class': 'Positive'}]}}"
