Product	Intended usage	product class
R-1-PHENYLETHANOL	pharmaceuticals	alcohols
R-3HB	polymers	biopolymer
R-3HV	polymers	biopolymer
RESVERATROL	food additives	chalcone
RIBOFLAVIN	pharmaceuticals	vitamins
RR-2_3-BDO	polymers	biopolymer
S-3HB	polymers	biopolymer
S-3HV	polymers	biopolymer
SABINENE	biofuels	terpenoids
SALVIANIC ACID	pharmaceuticals	organic acids
SCLAREOL	pharmaceuticals	terpenoids
SERINE-RICH PROTEINS	pharmaceuticals	protein
SHIKIMATE	metabolic intermediate	amino acids
SHIKIMIC ACID	metabolic intermediate	amino acids
SILK	polymers	protein
STEARIDONIC ACID	food additives	fatty acids
STYRENE	polymers	phenolics
SUCCINATE	polymers,food additives	organic acids
TAXADIENE	pharmaceuticals	terpenoids
TRIACETIC ACID LACTONE	food additives,polymers	chalcone
VALENCENE	pharmaceuticals	terpenoids
VANILLIN	food additives	phenolics
VIOLACEIN	pharmaceuticals	chalcone
XYLITOL	food additives	sugar alcohol
XYLITOL, RIBITOL	food additives	sugar alcohol
XYLONATE	food additives,polymers	sugar alcohol
(Z)-BIFORMENE	pharmaceuticals	terpenoids
(4S)-LIMONENE	biofuels	terpenoids
19-HYDROXY-MILTIRADIENE	pharmaceuticals	terpenoids
INDIGOIDINE	pharmaceuticals	amino acids
RG3 GINSENOSIDES	pharmaceuticals	terpenoids
ALKANES	biofuels	hydrocarbon
3-BETA-HYDROXY-MANOYL OXIDE	pharmaceuticals	terpenoids
(R)-ACETOIN	food additives	amino acids
(+)-CATECHIN	food additives	phenolics
ACETOL	polymers	organic acids
1_2_4-BUTANETRIOL	pharmaceuticals,biofuels	diols
TAXANES	pharmaceuticals	terpenoids
L-ARGININE	food additives	amino acids
ACETATE	polymers	organic acids
18-HYDROXY-MILTIRADIENE	pharmaceuticals	terpenoids
5-HYDROXYANTHRANILATE	food additives	amino acids
MORPHINE	pharmaceuticals	terpenoids
ALL-TRANS-RETINOL	food additives	terpenoids
PROPIONATE	polymers	fatty acids
PHENOL	polymers	phenolics
POLY (3-HYDROXYBUTYRATE-CO-3-HYDROXYPROPIONATE)	polymers	biopolymer
MYO-INOSITOL	food additives,pharmaceuticals	metabolic intermediates
PENICILLIN G	pharmaceuticals	amino acids
CIS-CIS-MUCONATE	pharmaceuticals	amino acids
PENTADECAHEPTAENE	biofuels	hydrocarbon
PROPANE	biofuels	hydrocarbon
QUERCETIN 3-O-XYLOSIDE	pharmaceuticals	flavanoids
GLYCOLATE	cosmetics	organic acids
