PMID;Title;Year;Organism;Product;Genes_and_modifications
10966444;Anhydrobiotic engineering of gram-negative bacteria.;2000;Escherichia coli,Pseudomonas putida;Trehalose;
10972798;Biosynthesis of the anti-parasitic agent megalomicin: transformation of erythromycin to megalomicin in Saccharopolyspora erythraea.;2000;Saccharopolyspora erythraea;Antibiotics;{'PKS': 'Other'}
10973220;Identification of a cyclohexylcarbonyl CoA biosynthetic gene cluster and application in the production of doramectin.;2000;Streptomyces avermitilis,Streptomyces collinus,Streptomyces lividans;Antibiotics;{'CHC': 'Positive'}
11001063;Peptide cyclization catalysed by the thioesterase domain of tyrocidine synthetase.;2000;;Macrocyclic;
11004185;Evidence of a role for LytB in the nonmevalonate pathway of isoprenoid biosynthesis.;2000;Escherichia coli,Synechocystis PCC 6803;Lipids;{'ipi': 'Positive', 'lytB': 'Positive'}
11010904;Metabolic engineering of an aerobic sulfate reduction pathway and its application to precipitation of cadmium on the cell surface.;2000;;Excess;
11013410;Use of genetically engineered Salmonella enterica OY1002/1A2 strain coexpressing human cytochrome P450 1A2 and NADPH-cytochrome P450 reductase and bacterial O-acetyltransferase in SOS/umu assay.;2000;Salmonella enterica;;
11027301;Substrate-dependent mutant complementation to select fatty acid desaturase variants for metabolic engineering of plant seed oils.;2000;Escherichia coli;Unusual;{'fadR': 'Other'}
11033080;Aminoacyl-SNACs as small-molecule substrates for the condensation domains of nonribosomal peptide synthetases.;2000;;Peptide;
11048953;The biosynthetic gene cluster for the antitumor drug bleomycin from Streptomyces verticillus ATCC15003 supporting functional interactions between nonribosomal peptide synthetases and a polyketide synthase.;2000;Streptomyces verticillus;¢ve;{'orf18': 'Negative', 'orf15': 'Positive', 'blmG': 'Negative', 'pbs9': 'Positive', 'orf13': 'Negative', 'blmF': 'Negative', 'blmE': 'Negative', 'blmIV': 'Negative'}
11055930;Integrative food-grade expression system based on the lactose regulon of Lactobacillus casei.;2000;Lacticaseibacillus casei;Butane23dione;{'gusA': 'Positive'}
11064336;Effective production of a thermostable alpha-glucosidase from Sulfolobus solfataricus in Escherichia coli exploiting a microfiltration bioreactor.;2000;Escherichia coli;Glucosidase;
11080650;Effects of sugar concentration on recombinant human alpha(1)-antitrypsin production by genetically engineered rice cell.;2000;;1antitrypsin;
11097884;Cofactor regeneration by a soluble pyridine nucleotide transhydrogenase for biological production of hydromorphone.;2000;Pseudomonas fluorescens;Hydromorphone;{'sth': 'Positive', 'MDH': 'Positive', 'morA': 'Positive', 'morB': 'Positive'}
11101317;Directed evolution of metabolically engineered Escherichia coli for carotenoid production.;2000;Escherichia coli;Carotenoids;
11101319;Enhanced production of (R)-1,2-propanediol by metabolically engineered Escherichia coli.;2000;Escherichia coli;Propanediol;{'mgs': 'Positive', 'fucO': 'Positive', 'gldA': 'Positive'}
11101808;Increasing galactose consumption by Saccharomyces cerevisiae through metabolic engineering of the GAL gene regulatory network.;2000;Saccharomyces cerevisiae;Prototroph;{'GAL': 'Other'}
11114930;Proteome analysis of metabolically engineered Escherichia coli producing Poly(3-hydroxybutyrate).;2001;Escherichia coli;PHB/PHA;{'yfiD': 'Positive'}
11115399;Escherichia coli engineered to synthesize isopentenyl diphosphate and dimethylallyl diphosphate from mevalonate: a novel system for the genetic analysis of the 2-C-methyl-d-erythritol 4-phosphate pathway for isoprenoid biosynthesis.;2001;Escherichia coli;Lipids;
11118584;Genetic strategies to enhance penicillin acylase production in Escherichia coli.;2000;Escherichia coli;Penicillinacylase;
11118589;Metabolic flux analyses for serine alkaline protease production.;2000;Bacillus licheniformis;Enzymes;
11120642;Choline import into chloroplasts limits glycine betaine synthesis in tobacco: analysis of plants engineered with a chloroplastic or a cytosolic pathway.;2000;;Glycinebetaine;
11120644;Low-copy plasmids can perform as well as or better than high-copy plasmids for metabolic engineering of bacteria.;2000;Escherichia coli;Lticopyplasmid,Carotenoids;
11129052;Analysis of genes involved in 6-deoxyhexose biosynthesis and transfer in Saccharopolyspora erythraea.;2000;Saccharopolyspora erythraea;Deoxyhexose;{'eryBVII': 'Negative,Positive', 'dnmU': 'Positive'}
11131389;Characterization of salt-tolerant mutant for enhancement of L-threonine production in Escherichia coli.;2000;Escherichia coli;Amino acids;
